,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
control01,3.1193073,0.8526927,-0.57619995,-0.36074424,0.06089231,-0.6386887,-0.8360116,0.2082585,-0.027948903,-0.35077977,0.22030452,-0.2530907,-0.2857986,1.0615991,0.12992027,1.5106776,-0.38015118,0.6326986,0.02589858,-0.46391454,0.7703171,0.13889532,0.62630737,0.45616922,0.2711986,-1.3436397,0.67011786,-0.28895319,-0.7167274,-0.7495833,-0.0044172863,0.96935296,1.0642315,0.22460279,-0.44477075,-0.45552945,0.43149018,-0.8367394,-0.30953705,0.60415316,0.60845906,-1.6650572,0.8943577,-0.59736973,-0.72342235,0.06827523,-1.7990083,-0.49736685,-1.190709,-0.5759246,-0.3124986,-1.1192207,0.5359323,0.6074277,-1.5329564,0.09786902,-0.49627566,0.81922483,0.43108666,1.596088,-0.76843625,-0.6596348,0.01223068,0.118487686,-1.0035182,-0.71653265,-0.24131212,0.32793233,1.2697755,0.18465033,0.64768994,-1.0586351,1.74307,-0.33477855,0.5435839
control02,2.0506983,-0.3810616,-0.383609,-0.30755836,-0.25569484,-0.8866462,-0.7821793,-0.46499306,-0.2803121,-0.64314324,-0.005038169,-0.0046706195,-0.7967062,-0.111049585,0.5718706,1.1674845,0.33888787,1.0819727,-0.40596357,-0.5166143,-0.7042991,0.29764548,0.21252602,0.79060555,0.35455325,-1.3770049,0.08769123,0.13691081,-1.4503832,-0.57448953,-0.49376175,0.97800785,1.1896731,0.014344765,-1.0830837,-0.3342725,0.81117994,-0.8061372,-1.3178965,1.0690277,1.2319998,-0.25722343,1.0088763,-0.198545,-0.419931,1.2016352,-1.799685,0.20399974,-1.352652,-1.2008173,0.2864907,-2.0616784,0.4481761,-0.07098991,-1.5896138,-0.34415996,0.2784738,1.1914134,-0.5513741,0.8076498,-1.4388179,-0.8651031,0.27989712,1.321777,-1.2214509,-0.37347057,0.2587889,1.2168673,1.2216036,0.8930825,1.3492967,-0.7917806,0.3638032,-0.5088996,0.33436844
control03,1.9417038,-0.4594269,0.36574137,-0.27687806,0.49276704,-0.30136734,-0.52288884,-0.02745032,0.02513863,-0.24726625,0.49918073,0.14562932,0.09199477,-0.46461752,-0.52849543,1.3117647,-0.08905622,0.63109094,-0.3455744,-0.26171404,-0.0067879236,-0.6338678,0.7166623,0.32887655,0.37993625,-0.655687,1.2570958,-0.21113774,-1.1323607,-0.89145154,-0.31427714,0.73408985,0.56667984,-0.27296674,-0.8846048,-0.640486,-0.22938836,-0.980059,-0.45903847,1.0394783,1.8667089,-0.5299456,1.4134158,-0.9192766,-0.8599023,2.2352345,-2.2368507,-0.2805376,-0.88216877,-0.5511842,-0.010097638,-2.9644845,0.48536322,0.27079308,-1.5264175,0.29377207,-1.0170057,1.7308682,0.41215134,0.8456569,-1.0858428,-0.71246266,0.4178861,1.7810735,-1.1768838,-0.3813164,-0.4554679,0.7155925,1.2989062,-0.16946842,0.13578245,-0.6975679,1.4781432,0.21473014,0.9395557
control04,2.1623495,0.08166687,0.00037648855,-0.38853306,0.045651782,-0.92612284,-0.95548284,-0.4927733,-0.48871806,-1.4349178,-0.07981087,-0.23750377,-0.32474795,-0.5104357,0.21333197,1.8258299,0.068138316,1.8499973,-0.39634886,-0.6633012,-0.42816097,-0.41332096,0.7891772,0.18517418,0.025659345,-1.4907085,0.55361766,0.165871,-0.93885636,-0.26237032,-0.66742796,0.79458815,0.3294593,1.0985751,-0.41933557,-0.17507416,0.07288137,-0.2890786,-1.3801515,0.48385146,0.81038094,-1.367413,0.47430056,0.23631743,-1.242445,0.9676698,-2.0879147,0.54034024,-2.144705,0.28034732,-0.019104704,-0.505462,0.7829248,0.31987026,-1.7950644,0.5571193,-0.06025543,0.6868254,-1.0186964,0.9087595,-1.5408424,-0.082709394,0.22390175,0.938873,-1.3243419,-0.69155014,-0.010672153,-0.2769781,1.0251007,0.9193034,0.21265471,0.26735067,1.4690158,-0.8571723,0.5409607
control05,2.4839804,-0.4998802,-0.07285169,0.57346046,0.0078103067,-1.5449086,-0.1648924,-0.7150967,-0.21114899,-1.2837068,0.49997774,0.33905262,-0.119088255,0.30640244,-0.81354886,0.5063924,-0.0076850476,0.089968584,-0.77501833,-1.198554,0.50050706,0.13175993,-0.08945459,0.84519804,0.15158293,-2.025977,1.0716183,0.0246056,-1.5439974,-1.0625721,-0.146742,0.90005183,0.88502336,0.15571547,-0.5379092,-0.1900608,-0.18166155,-0.22310823,-0.43356523,0.6829846,0.7818401,-0.67789257,0.8237932,-0.4447439,-0.9339294,1.3582729,-1.1156512,0.32409632,-0.69507426,-0.17454189,0.7733952,-1.3791559,0.53151983,0.44146994,-1.1638451,-0.23205024,-0.50138164,1.0786906,0.14524272,1.0811747,-0.009863535,0.24619003,0.07077476,0.6844349,-1.4234507,-0.29662308,0.9957821,0.39141333,1.6763841,1.7157425,0.29487666,-0.12359939,1.0252459,-0.9428839,0.58484125
control06,1.9511949,-0.47059304,0.8546258,-0.78872347,0.02003393,-0.45842063,-1.0753864,-0.30277818,-0.036063254,-0.8871178,0.3700204,0.036675215,-0.27497524,0.13573149,-0.11365512,1.73052,-0.11311135,0.18456632,-0.38973427,-0.6609327,-0.54157984,0.86815923,0.4730958,0.81092834,1.2603526,-1.5131315,0.697637,-0.65710276,-1.5702531,-0.38820568,-0.83217615,1.2152019,0.9994898,-0.20894162,-1.9139802,-0.3884487,-0.81316227,-0.9101455,-1.1135617,1.5654552,0.96480364,-0.6139412,1.1789485,-0.44342425,-1.2956458,1.0528305,-2.3496788,-0.6363671,-1.3191806,-0.7596714,-0.43713218,-1.3278468,0.7369058,-0.042632077,-0.78205854,0.06419969,-1.89623,1.3577634,-0.23800628,0.6333616,-1.0270282,-0.71769106,0.4877206,1.0785457,-1.1554317,0.08099285,-0.39718094,0.48065528,0.3578178,1.0665127,0.56049615,0.2391057,0.6062133,0.40227562,0.6410212
control07,1.6895227,-1.0008126,0.23282793,-1.1882344,-0.08878314,-1.4108015,0.31142315,0.18994202,0.26602215,-2.6579459,-0.05633902,0.06835368,0.020766195,-0.42659974,-0.4198793,0.18869022,0.4166424,1.5222067,-0.21419594,-0.7952183,-0.08517003,0.07752572,0.7233541,0.950902,1.0809847,-1.2933714,1.0325888,-0.51749474,-0.71219957,-1.0127853,-0.10071331,0.07471421,0.6499625,-0.453265,-0.38988563,0.07779993,0.12994881,-0.5103182,-0.5541097,-0.1448145,1.5203235,-0.5812715,0.7385632,-0.029696591,-0.508251,1.6572738,-1.3326035,0.22061296,-0.4463884,0.9149173,0.5098846,-1.8424056,1.1077061,0.63262105,-1.48774,-0.7601734,0.45485765,1.1312498,-0.122924715,0.6525818,-0.9850559,0.69519573,0.06598299,0.8332777,-0.52985704,-0.21320312,0.7070063,-0.034549315,0.9103011,0.6764136,-0.41775775,0.00907243,1.5824882,-1.398284,0.11721557
control08,2.377077,0.07430698,-0.27923468,-0.1403883,-0.41175315,-0.31862915,-0.43133757,-1.0126703,-0.37399858,-1.1812418,0.5080409,0.3652626,-0.08873732,0.60233563,-0.21293841,1.3502986,-0.30789152,0.8712954,-0.81545484,-0.64205635,-0.10857701,0.23208101,0.049353797,0.60986924,0.31410635,-0.9509042,0.3408529,-0.62942505,-1.3224967,-0.25337696,-0.7103199,0.59124833,1.239058,0.12462534,-1.0423915,-0.21549764,0.56698054,-0.87557423,-0.8811888,0.8008021,0.45468304,-0.8985435,0.92616075,-0.29357335,-1.5205092,1.0831326,-1.5865856,-0.20150788,-1.5062581,-0.5042638,0.06522785,-2.372222,0.70226526,0.39766726,-0.5816074,0.46739128,-0.6574522,0.88725305,0.42273033,1.5021608,-0.5290538,-0.05288535,0.51503205,0.8450744,-1.0437257,-0.6395434,-0.1346887,0.42275146,1.246918,1.2424176,0.3016363,-0.106714316,1.2636317,-0.95371985,0.68385476
control09,2.8245246,-0.60342896,-0.06936629,-0.49769625,-0.31887716,-1.596357,-0.3805153,-0.016149089,-0.24716419,-1.1097025,0.3800221,0.33791965,0.25101185,0.38283682,-0.54727924,0.3093661,-0.26157293,0.58208394,-0.16637695,-0.7181515,-0.32952988,0.26509348,0.865796,1.1498716,0.84306204,-1.6323436,1.1202402,-0.5543102,-1.2597387,-0.7189721,-0.98448986,0.67936486,1.258192,0.14521863,-0.30475482,-0.6366552,0.029021561,-1.0384334,-1.1637101,0.5759071,1.441195,-0.14063948,1.1953155,0.11118143,-0.6777986,0.9166358,-1.459467,-0.5018238,-1.1664091,0.03514432,0.7233132,-1.0318145,0.49014583,0.1351738,-1.316436,-0.2581338,-1.1701959,1.1701118,0.063486904,1.146232,-1.1091632,0.3033192,0.34022388,0.97416633,-0.92943025,0.30212668,0.3882776,0.73071915,1.2250218,1.2072939,0.3527751,-0.57359457,1.1750995,-0.56630164,0.35762957
control10,2.7418902,-0.6986998,-0.05479043,-0.7431897,-0.74895316,-0.45838934,-0.37125793,-0.9674088,-0.41135287,-1.9018106,0.056472663,-0.21464908,0.404384,-0.45901728,0.0012476777,1.0623876,0.5359408,1.0180957,-0.26100695,-1.1165181,0.6325107,0.1003937,1.1462656,0.17818624,0.21215945,-1.5154533,1.0192922,-0.6362609,-0.85014087,-0.486676,-0.19314468,0.57680774,0.487364,0.74262804,-0.8174662,0.114600554,-0.09970085,-0.5155683,-1.4885241,0.5439641,0.73762286,-0.45344192,0.25670886,-0.61682326,-1.3263648,2.2876635,-1.762139,0.08758052,-0.9443992,-0.90047306,-0.23491456,-1.8827972,0.20036852,0.8530892,-1.1115868,-0.439536,-1.0397804,0.8560109,0.18923648,0.63517106,-1.065971,-0.5653989,0.43962252,0.14563276,-0.8936921,-0.600809,0.20357686,-0.18024902,1.2063742,0.6535027,0.31988978,0.03872381,0.4966642,-1.382969,1.0926167
control11,1.7761848,-0.13144384,-0.28914058,-0.59780425,-0.5831638,-0.8252936,0.5310823,0.32135737,-0.32312226,-1.4974248,0.13639116,-0.04581315,-0.4374972,-0.25673455,-0.6299053,0.29196274,-0.61902326,1.3620392,-0.5234989,-0.9788483,-0.1658811,-0.088427916,0.81003964,0.85345876,1.1809068,-1.6055169,1.0704861,-0.6535417,-1.3935828,-0.55025303,-0.24644776,0.8777536,-0.002180274,0.8317852,-0.46129048,-0.20247313,-0.31359887,-0.32099473,-1.0500488,0.6274298,0.7314398,-0.45351684,0.22797708,-1.7299722,-1.7696717,1.8478473,-1.5627371,-0.13988666,-0.90042514,-0.34465817,-0.34404382,-1.6752659,0.26620933,0.4375315,-0.37156644,0.11012934,-0.19697224,0.6136273,0.8035707,0.9555909,-0.5718856,0.26382914,0.47289032,1.0480369,-1.261921,-0.50633794,0.20202433,1.8290704,0.23492151,0.051386356,-0.5281203,0.08051591,0.88527554,-0.20188086,0.9168577
control12,2.1503644,-0.9869976,0.07165723,-0.36561596,-0.11283226,-0.56663674,-0.7351108,-0.09146311,0.32869482,-0.8627882,0.662092,0.088707894,-0.11077928,0.69798094,-0.39610058,0.93754745,-0.22291055,1.1499803,-0.7580928,-1.4346662,-0.19682838,-0.22362725,0.8369304,1.4554743,0.9078219,-1.3750986,0.36334136,-0.11424172,-0.81656915,-0.7651139,-0.68443584,0.35534737,0.6827842,-0.0056645744,-1.0106969,0.32580099,-0.13716601,-1.1256508,-0.61001843,0.35265425,1.8152146,-0.7684698,1.0170668,-0.9218818,-0.8304259,1.1689855,-1.4852184,-0.6530113,-1.389635,-0.2569368,0.37088653,-1.5404704,1.2462094,0.55030453,-0.9657108,-0.7008222,-0.07465529,1.5386661,-0.1502871,0.86349815,-1.2202402,-0.06712846,0.5044704,0.9998558,-1.2895477,-0.5885159,0.25093877,-0.50803,1.0317774,0.5770589,0.8391746,0.0068866983,2.4322731,-0.32536763,0.70040816
control14,3.1087992,-0.49523675,0.086768724,-0.5579744,0.22634712,-0.7138353,-0.27795222,-0.0035607824,-0.3441009,-1.3768654,0.5809688,-0.0016011591,-0.5278487,0.12278119,-0.68528455,0.97122705,-0.6243549,1.5549475,0.19425288,-0.9537045,-0.35812414,-0.47269645,1.016801,1.5799493,1.1878917,-1.5192595,1.2086227,0.32463476,-0.26815176,-0.36383948,-0.652555,0.64777637,0.7726309,0.6105919,-0.36464092,-0.9018104,0.30120093,-0.46632364,-0.60563934,0.77522206,1.2228031,-0.2210891,0.4359489,-1.0390574,-1.4964974,1.3934988,-1.8598806,0.19552775,-0.9440545,-1.3321462,0.48576307,-0.65607953,0.78525704,0.7976961,-0.6401633,-0.7831079,-0.73515385,0.95242625,0.44437897,1.0515125,-0.28697088,0.3040484,0.16111298,0.73856586,-1.2989776,-0.63764393,0.36284235,0.5319093,1.3670611,0.30811968,0.041511267,0.10802909,1.2049626,-0.7674163,0.24326465
control15,2.3558755,-0.33962676,0.32898808,-0.8887895,-0.37502226,-0.31516254,-0.028474921,0.15518309,0.24990642,-1.6118159,0.0022137791,0.4061653,-0.18972805,0.5955944,-0.0015456344,1.4629751,-0.23124056,0.53730637,-0.90324384,-0.84023464,-1.0861785,-0.8152594,0.18733536,0.6863426,0.63110787,-1.1410413,0.38498908,-1.199302,-0.67229384,-0.55381995,-0.7216451,1.0954496,-0.17258973,0.25652128,-1.3156843,0.23959675,0.47050816,-0.91777146,-0.6200923,0.16137584,0.6763271,-1.3217947,0.7419342,-0.6128427,-1.5249058,1.9399201,-2.4597294,-0.014338927,-1.1659184,-0.688508,0.1674953,-1.7743471,0.9730935,0.120343536,-0.65371066,0.06690146,-1.4049767,1.0613891,-0.38943812,0.6172004,-0.742296,-1.6721765,0.11801775,1.1274368,-1.1465492,-0.59593797,0.611106,0.5113815,1.1087955,0.50196755,0.64755034,-0.63932645,1.4646302,-0.78809166,0.6909334
control16,2.7231684,0.08602375,-0.35186386,-0.058959953,-0.6985107,-0.36960143,-0.67723936,-0.07040595,-0.23999336,-1.7361405,1.3692317,0.13673994,-0.1107874,-0.020409606,-0.073277086,2.2311127,-0.08984882,0.555726,-0.13451563,-0.6571826,-0.5545566,1.0386904,-0.45504108,1.0713233,0.18066208,-1.1973041,-0.043890204,-0.837302,-0.9733435,-1.0177029,-0.20937665,0.8469863,0.72249377,0.79551,-1.0528849,-0.095800385,0.09961896,-0.7059595,-1.1183324,0.7629055,1.5435048,-0.8025414,0.33221078,-0.03876602,-1.036778,2.2602832,-1.4511095,-0.8275421,-0.8253185,-1.2473961,-0.7900945,-1.5881132,0.73848885,0.78699356,-1.2957082,0.21123417,-0.12680246,1.3212723,-0.07950494,0.9278555,-0.9246742,-0.78332835,-0.021581905,1.0751327,-1.2172477,-0.62840784,0.12400854,0.69690555,0.44637653,1.2695531,0.372001,0.38088706,1.2821307,0.103468575,0.61425054
control17,1.6615555,-0.4185487,0.1433525,-1.0584562,-0.4936138,-1.0408392,-0.43177226,-0.24675973,-0.46639684,-1.1057343,0.2692033,0.21643016,-0.20929264,0.9053554,-0.012876954,1.103527,-0.19856705,1.1239728,-0.050567333,-0.8235387,-0.5247844,0.2872225,0.050240446,1.1475142,0.1516289,-1.7549411,-0.014060604,-0.6978817,-0.8327352,-0.1202955,-0.23392402,0.8987233,0.8188641,0.19457026,-1.2950315,0.024279777,0.2974716,-0.53049135,-0.58000565,0.72273546,1.0188057,-0.28116056,0.81922483,-0.6335876,-1.7415743,1.6007673,-2.0751934,-0.10169992,-0.90089065,-0.71944773,0.26447728,-1.6317413,0.8973205,0.94333684,-0.28482145,0.07992439,-1.1386721,0.67896616,0.55527806,1.1763003,-1.1477004,-0.87605387,0.32815176,1.1367182,-1.4287199,-0.54256475,0.58303255,0.41010365,1.2724588,1.1455117,-0.081394136,0.48841012,0.6904983,-0.7210527,1.0487833
control18,1.341345,-0.46642894,-0.15049759,-1.1889967,-0.1577547,-0.8491459,-0.14847948,-0.03214615,0.5474862,-0.4255677,-0.3141837,-0.52218384,-0.37127608,0.5419155,-0.27301344,1.2403791,0.38816488,0.80501753,-0.9547723,-1.1950653,-0.41167325,0.7493567,0.49612406,0.45589465,1.4464153,-0.76914084,0.2414461,0.63147736,-1.5413462,-0.55686915,-0.004920111,0.5872705,1.1575009,0.62138146,-1.7840376,-0.3229832,0.2937994,-0.8899653,-1.4022843,0.28029382,1.0512248,-1.1573641,0.8035228,-0.30390775,-1.3473225,1.861132,-1.777798,0.0242635,-1.1185545,-1.0676614,0.07092069,-1.2941967,0.7307367,0.2995549,-1.1721525,-0.12213291,-0.27603078,1.3778589,-0.29174396,0.5446615,-0.8541463,-0.82825834,0.19012053,1.1414512,-0.70371604,0.03190099,-0.4249568,0.57913816,1.7358973,1.1074619,-0.0142601505,0.12022986,0.6357267,-0.25412485,0.12884462
control19,2.8293936,-0.42934576,-0.790318,-0.41229755,0.8498555,-1.3477796,-0.015156431,0.104690276,0.012849389,-0.6043794,0.75739974,-0.08614823,-0.45583177,0.08314398,0.23623541,0.74158424,-0.0038409205,1.173647,-0.1507183,-1.3379195,-0.98412085,1.1438719,-0.5537189,1.6037143,1.391802,-1.2217987,0.3274202,0.13142982,-0.80070823,-0.5023465,-0.33062336,0.44246984,1.0049917,0.45357633,-1.7441086,0.09489341,0.8976776,-1.1971276,-1.6440563,0.68784606,0.90071964,-0.54124796,0.51354647,-0.88186854,-0.8107421,2.1827035,-1.5249931,-0.6328824,-1.5004374,-0.27997115,0.30386648,-0.7992579,1.13397,-0.11823381,-1.0243778,-0.36557728,0.00871382,1.4535787,-0.37936443,0.88400555,-0.7401923,-0.71897686,0.4946858,1.1725961,-1.3742366,-0.38663515,-0.4138312,0.5897031,1.5129218,0.44034174,0.15323174,-0.06135621,0.6318099,-1.1588755,1.0025936
